epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,803.09,1.03358,0.63952,1.3906,0.85797,1,0.91321,0.49568,1.6779,0.90068,1.34186,0.00101,0.00101,0.00101
77,813.359,1.0039,0.61496,1.45442,0.87906,1,0.94376,0.52086,1.63455,0.90568,1.26845,0.0009968,0.0009968,0.0009968
78,823.877,1.08056,0.63101,1.40912,0.88363,1,0.94994,0.57281,1.51675,0.81094,1.13007,0.0009836,0.0009836,0.0009836
79,834.649,1.06434,0.64818,1.43094,0.88111,1,0.93407,0.50159,1.72089,0.81486,1.34975,0.0009704,0.0009704,0.0009704
80,844.933,1.07146,0.64786,1.41412,0.88491,1,0.94965,0.55296,1.56395,0.89332,1.14893,0.0009572,0.0009572,0.0009572
81,855.209,1.06759,0.62273,1.49861,0.82475,1,0.94478,0.54321,1.6227,1.0091,1.19373,0.000944,0.000944,0.000944
82,865.822,1.08394,0.64035,1.48787,0.87791,1,0.92947,0.5474,1.61115,0.85482,1.20304,0.0009308,0.0009308,0.0009308
83,876.062,1.01971,0.62745,1.44427,0.86442,1,0.96185,0.53498,1.64842,0.94792,1.26712,0.0009176,0.0009176,0.0009176
84,886.409,1.04159,0.64978,1.40548,0.87818,1,0.92935,0.54288,1.6077,0.9942,1.2142,0.0009044,0.0009044,0.0009044
85,896.988,0.99455,0.54552,1.37194,0.83735,0.97436,0.93682,0.56854,1.54808,0.80713,1.08144,0.0008912,0.0008912,0.0008912
86,907.501,1.00278,0.57679,1.39026,0.75691,1,0.88345,0.48473,1.7498,0.92248,1.3546,0.000878,0.000878,0.000878
87,917.844,1.04437,0.6146,1.35769,0.76389,1,0.94349,0.58499,1.60001,0.72196,1.18361,0.0008648,0.0008648,0.0008648
88,928.237,0.99031,0.58503,1.39689,0.85805,0.93007,0.94686,0.55757,1.67102,0.71842,1.28102,0.0008516,0.0008516,0.0008516
89,938.8,1.00111,0.57355,1.38574,0.84889,1,0.97234,0.58577,1.61967,0.74124,1.22118,0.0008384,0.0008384,0.0008384
90,949.364,1.01854,0.62514,1.38951,0.8266,1,0.91109,0.49633,1.67709,0.98992,1.31394,0.0008252,0.0008252,0.0008252
91,959.796,1.02622,0.5978,1.38234,0.81014,1,0.90963,0.4879,1.68794,1.01157,1.3406,0.000812,0.000812,0.000812
92,970.36,0.96422,0.58564,1.39247,0.87435,1,0.95178,0.54254,1.60822,0.84486,1.21366,0.0007988,0.0007988,0.0007988
93,980.821,1.0183,0.60765,1.39486,0.92138,1,0.97504,0.53906,1.71621,0.62188,1.38659,0.0007856,0.0007856,0.0007856
94,991.018,1.00621,0.57613,1.34619,0.88527,1,0.9818,0.57042,1.56698,0.84323,1.17467,0.0007724,0.0007724,0.0007724
95,1001.29,1.01658,0.59887,1.37512,0.83484,0.97436,0.93623,0.53818,1.58594,1.02137,1.19206,0.0007592,0.0007592,0.0007592
96,1011.64,0.96226,0.59679,1.37162,0.84499,1,0.91922,0.51737,1.63679,0.77589,1.21222,0.000746,0.000746,0.000746
97,1022.04,1.06275,0.64016,1.36454,0.8519,0.97436,0.95516,0.56712,1.57398,0.69325,1.15294,0.0007328,0.0007328,0.0007328
98,1032.27,0.9724,0.61651,1.3853,0.86311,0.97436,0.93151,0.54729,1.60351,0.89833,1.17343,0.0007196,0.0007196,0.0007196
99,1042.71,0.91159,0.55511,1.38497,0.8432,0.92308,0.93516,0.53884,1.63157,0.82986,1.22524,0.0007064,0.0007064,0.0007064
100,1053.02,0.98829,0.6105,1.38994,0.85902,0.94872,0.93214,0.54354,1.62823,0.78511,1.24161,0.0006932,0.0006932,0.0006932
101,1063.52,0.97273,0.61489,1.38178,0.83023,0.94872,0.93337,0.50369,1.74203,0.73762,1.39772,0.00068,0.00068,0.00068
102,1073.88,0.92456,0.56407,1.36559,0.84364,1,0.94405,0.5509,1.59812,0.76666,1.22956,0.0006668,0.0006668,0.0006668
