epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,519.708,1.81662,1.43745,2.29426,0.76308,0.9244,0.96389,0.55551,1.2957,1.09651,2.21256,0.006667,0.006667,0.006667
103,524.611,1.635,1.33135,2.32058,0.85747,1,0.9775,0.62244,1.2212,0.9661,2.20977,0.006634,0.006634,0.006634
104,529.575,1.55157,1.27985,2.33536,1,0.98595,0.995,0.5923,1.37639,0.97911,2.34244,0.006601,0.006601,0.006601
105,534.502,1.76929,1.26934,2.32319,1,0.99245,0.995,0.62054,1.36781,0.85375,2.27741,0.006568,0.006568,0.006568
106,539.449,1.66444,1.32839,2.35021,1,0.97502,0.995,0.51849,1.67561,0.9998,2.61701,0.006535,0.006535,0.006535
107,544.364,1.77702,1.34036,2.37985,0.96605,1,0.995,0.5789,1.38527,0.94736,2.37624,0.006502,0.006502,0.006502
108,549.274,1.78004,1.29408,2.46687,0.99518,0.85714,0.9775,0.50703,1.56538,1.15233,2.49385,0.006469,0.006469,0.006469
109,554.175,1.71302,1.25057,2.32932,0.99324,1,0.995,0.53384,1.53516,0.97312,2.44423,0.006436,0.006436,0.006436
110,559.087,1.64021,1.126,2.27742,1,0.9891,0.995,0.52748,1.7486,1.01066,2.68269,0.006403,0.006403,0.006403
111,564.078,1.69156,1.31057,2.40113,0.98661,1,0.995,0.60499,1.28076,0.83809,2.1772,0.00637,0.00637,0.00637
112,569.012,1.4717,1.13801,2.18409,0.98785,1,0.995,0.56177,1.58842,0.83302,2.42265,0.006337,0.006337,0.006337
113,573.962,1.53295,1.22995,2.33644,0.98703,1,0.995,0.57916,1.38112,0.77064,2.25165,0.006304,0.006304,0.006304
114,578.915,1.50565,1.12612,2.11156,0.87396,0.99165,0.9775,0.56425,1.37916,0.83065,2.28067,0.006271,0.006271,0.006271
115,583.863,1.5518,1.17047,2.17698,0.98652,1,0.995,0.64892,1.25288,0.79176,2.21416,0.006238,0.006238,0.006238
116,588.779,1.83507,1.35779,2.34962,0.98809,1,0.995,0.53598,1.60288,0.90418,2.51221,0.006205,0.006205,0.006205
117,593.716,1.5468,1.00132,2.09249,0.99272,1,0.995,0.69797,1.2967,0.87516,2.19798,0.006172,0.006172,0.006172
118,598.697,1.95762,1.48258,2.26902,0.98586,1,0.995,0.66289,1.39765,0.81253,2.33092,0.006139,0.006139,0.006139
119,603.641,1.4899,1.05789,2.07986,0.98739,1,0.995,0.6835,1.14303,0.83087,2.03023,0.006106,0.006106,0.006106
120,608.532,1.41409,1.15858,2.16023,0.99329,1,0.995,0.71473,1.29641,0.77888,2.17501,0.006073,0.006073,0.006073
121,613.741,1.65959,1.19604,2.21194,0.98887,1,0.995,0.75636,1.02829,0.80466,1.9772,0.00604,0.00604,0.00604
122,618.908,1.65151,1.09123,2.18398,0.98344,1,0.995,0.70186,1.16623,0.87449,2.13983,0.006007,0.006007,0.006007
123,623.879,1.69317,1.26617,2.23606,0.98316,1,0.995,0.64593,1.22821,0.81806,2.13129,0.005974,0.005974,0.005974
124,628.768,1.52265,1.0329,2.0423,0.98662,1,0.995,0.65752,1.20356,0.87785,2.19417,0.005941,0.005941,0.005941
125,633.698,1.41344,1.0431,2.12784,0.98492,1,0.995,0.6886,1.13921,0.81453,2.0361,0.005908,0.005908,0.005908
126,638.715,1.47624,1.07877,2.13077,0.98741,1,0.995,0.6845,1.12932,0.75668,2.04578,0.005875,0.005875,0.005875
127,643.686,1.45418,1.05568,2.00731,0.98186,1,0.995,0.62491,1.33244,0.8338,2.19576,0.005842,0.005842,0.005842
128,648.653,1.35513,0.91569,1.91706,1,0.98082,0.995,0.7655,1.02146,0.78802,2.05038,0.005809,0.005809,0.005809
129,653.821,1.38028,1.01568,2.0348,0.98602,1,0.995,0.70755,1.08533,0.75848,2.0473,0.005776,0.005776,0.005776
130,658.752,1.3866,1.05958,2.03818,0.98653,1,0.995,0.738,1.05275,0.65528,1.95886,0.005743,0.005743,0.005743
131,663.648,1.54764,1.1206,2.05624,0.98956,1,0.995,0.70899,1.06305,0.67615,1.94438,0.00571,0.00571,0.00571
132,668.583,1.30118,0.85372,1.91511,0.99281,1,0.995,0.743,1.01689,0.62122,1.95919,0.005677,0.005677,0.005677
133,673.57,1.35804,1.00395,2.12198,0.9912,1,0.995,0.704,1.14324,0.61564,2.02177,0.005644,0.005644,0.005644
134,678.536,1.3824,0.94812,2.05596,0.9897,1,0.995,0.65164,1.10766,0.68965,2.05141,0.005611,0.005611,0.005611
135,683.506,1.34674,0.85719,1.95637,0.99029,1,0.995,0.72808,0.96788,0.67384,2.02158,0.005578,0.005578,0.005578
136,688.43,1.29958,0.96414,2.03323,0.99028,1,0.995,0.685,1.24229,0.70689,2.17482,0.005545,0.005545,0.005545
137,693.365,1.2717,0.99552,2.05672,0.99543,1,0.995,0.83017,0.83874,0.63869,1.88247,0.005512,0.005512,0.005512
138,698.535,1.26082,0.92253,1.91252,0.99298,1,0.995,0.695,1.18927,0.61091,2.06269,0.005479,0.005479,0.005479
139,703.451,1.34898,0.87044,2.07395,0.99344,1,0.995,0.7275,1.05313,0.63156,1.97462,0.005446,0.005446,0.005446
140,708.332,1.38759,0.90393,1.84672,0.9917,1,0.995,0.72617,1.11636,0.66823,2.06942,0.005413,0.005413,0.005413
141,713.181,1.44734,0.95748,1.95876,0.9905,1,0.995,0.64467,1.21277,0.63224,2.09574,0.00538,0.00538,0.00538
142,718.076,1.30539,0.96451,2.01832,0.99155,1,0.995,0.6605,1.18929,0.65119,2.12863,0.005347,0.005347,0.005347
143,722.979,1.31017,0.94453,1.97813,0.99507,1,0.995,0.73767,0.94282,0.59524,1.91265,0.005314,0.005314,0.005314
144,727.932,1.38607,1.31934,1.95218,0.99313,1,0.995,0.70377,1.10235,0.6573,1.97962,0.005281,0.005281,0.005281
145,732.919,1.2653,0.91225,1.98003,0.97237,0.85714,0.96389,0.59696,1.20037,0.8238,2.14824,0.005248,0.005248,0.005248
146,737.779,1.42923,0.99108,2.25076,1,0.9783,0.995,0.53226,1.46362,0.82018,2.31081,0.005215,0.005215,0.005215
147,742.645,1.21918,1.13088,2.09956,0.99529,1,0.995,0.71642,1.01989,0.6344,1.95218,0.005182,0.005182,0.005182
148,747.629,1.14311,0.77696,1.84086,0.99676,1,0.995,0.70286,0.99395,0.68934,1.92454,0.005149,0.005149,0.005149
149,752.511,1.32459,0.93185,1.98297,1,0.99972,0.995,0.74668,0.9201,0.68042,1.93392,0.005116,0.005116,0.005116
150,757.444,1.28396,0.94372,1.8536,0.99383,1,0.995,0.707,0.88746,0.63645,1.89886,0.005083,0.005083,0.005083
151,762.434,1.12225,0.77953,1.98704,0.99317,1,0.995,0.7559,0.94236,0.58361,1.9177,0.00505,0.00505,0.00505
152,767.31,1.11928,0.73124,1.78132,0.99238,1,0.995,0.647,1.29743,0.68007,2.17946,0.005017,0.005017,0.005017
153,772.222,1.27269,0.87371,1.863,0.99361,1,0.995,0.7045,1.10708,0.61409,1.99225,0.004984,0.004984,0.004984
154,777.072,1.15361,0.8055,1.75625,0.99389,1,0.995,0.71994,0.91118,0.61362,1.80482,0.004951,0.004951,0.004951
155,782.029,1.31887,0.83888,1.84859,0.99301,1,0.995,0.74547,0.96223,0.58948,1.84458,0.004918,0.004918,0.004918
156,787.577,1.17487,0.91839,1.77956,0.99252,1,0.995,0.79884,0.8104,0.57904,1.70993,0.004885,0.004885,0.004885
157,793.045,1.22022,0.75634,1.79479,0.99243,1,0.995,0.81425,0.83216,0.53089,1.71222,0.004852,0.004852,0.004852
158,798.352,1.17428,0.80516,1.82613,0.99214,1,0.995,0.81098,0.75969,0.53159,1.62819,0.004819,0.004819,0.004819
159,803.705,1.32175,0.83682,1.95896,0.9935,1,0.995,0.79225,0.83676,0.66171,1.80183,0.004786,0.004786,0.004786
160,809.106,1.06014,0.7647,1.76056,0.63241,0.73969,0.78567,0.45615,1.51004,2.03373,2.57199,0.004753,0.004753,0.004753
161,814.584,1.24951,0.83981,1.78947,0.08594,0.71429,0.07762,0.01168,3.37652,5.01709,4.85613,0.00472,0.00472,0.00472
162,819.932,1.0775,0.73043,1.81549,0.9921,1,0.995,0.81763,0.81921,0.52004,1.73865,0.004687,0.004687,0.004687
163,825.3,1.13385,0.72274,1.74057,0.9913,1,0.995,0.79313,0.75547,0.50178,1.68305,0.004654,0.004654,0.004654
164,830.747,1.09372,0.78222,1.76988,0.99203,1,0.995,0.76965,0.8271,0.49082,1.70688,0.004621,0.004621,0.004621
165,836.119,1.17291,0.9605,1.88401,0.99178,1,0.995,0.79775,0.82332,0.52217,1.74312,0.004588,0.004588,0.004588
166,841.06,1.31831,0.89454,1.96445,0.99138,1,0.995,0.7665,1.00553,0.50315,1.83314,0.004555,0.004555,0.004555
167,846.003,1.16905,0.84428,1.81285,0.99229,1,0.995,0.77407,0.87218,0.51992,1.77689,0.004522,0.004522,0.004522
168,850.907,1.21911,0.80852,1.78498,0.99245,1,0.995,0.78348,0.82112,0.52049,1.72532,0.004489,0.004489,0.004489
169,855.737,1.14774,0.76782,1.86796,0.99274,1,0.995,0.72113,1.0086,0.53063,1.87079,0.004456,0.004456,0.004456
170,860.681,1.14283,0.77069,1.88743,0.99197,1,0.995,0.75633,0.86558,0.53958,1.74851,0.004423,0.004423,0.004423
171,865.634,1.12334,0.83027,1.81416,0.99255,1,0.995,0.7904,0.82544,0.46758,1.6666,0.00439,0.00439,0.00439
172,870.646,1.11571,0.80442,1.82506,0.99413,1,0.995,0.76833,0.86926,0.50388,1.68517,0.004357,0.004357,0.004357
173,875.579,1.08971,0.76303,1.74945,0.9931,1,0.995,0.84667,0.74847,0.49236,1.63992,0.004324,0.004324,0.004324
174,880.742,0.96336,0.66124,1.76469,0.99183,1,0.995,0.8254,0.83379,0.49335,1.64401,0.004291,0.004291,0.004291
175,885.668,1.02299,0.74055,1.74379,0.99094,1,0.995,0.84448,0.74915,0.50906,1.63935,0.004258,0.004258,0.004258
176,890.576,0.95183,0.7323,1.70314,0.9909,1,0.995,0.71383,1.07157,0.53073,1.86514,0.004225,0.004225,0.004225
177,895.577,1.03943,0.67525,1.75901,0.99319,1,0.995,0.8077,0.79392,0.52064,1.65207,0.004192,0.004192,0.004192
178,900.616,0.90668,0.61061,1.51658,0.99304,1,0.995,0.8085,0.82412,0.47897,1.71435,0.004159,0.004159,0.004159
179,905.622,0.93738,0.68783,1.65065,0.99274,1,0.995,0.76105,0.87585,0.47963,1.71882,0.004126,0.004126,0.004126
